.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
BCR-AL_S8_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AL_S8_L001_R2_001	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-AL_S8_L002_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AL_S8_L002_R2_001	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-AL_S8_L003_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AL_S8_L003_R2_001	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-AL_S8_L004_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AL_S8_L004_R2_001	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-AT_S7_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AT_S7_L001_R2_001	1	1	0.5	1	1	0.25	1	1	0.25	0.25	0.25
BCR-AT_S7_L002_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AT_S7_L002_R2_001	1	1	0.25	1	1	0.25	1	1	0.25	0.25	0.25
BCR-AT_S7_L003_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AT_S7_L003_R2_001	1	1	0.25	1	1	0.25	1	1	0.25	0.25	0.25
BCR-AT_S7_L004_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-AT_S7_L004_R2_001	1	1	0.5	1	1	0.25	1	1	0.25	0.25	0.25
BCR-YL_S6_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-YL_S6_L001_R2_001	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-YL_S6_L002_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-YL_S6_L002_R2_001	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-YL_S6_L003_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
BCR-YL_S6_L003_R2_001	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-YL_S6_L004_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	0.25
BCR-YL_S6_L004_R2_001	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	0.25
BCR-YT_S5_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
BCR-YT_S5_L001_R2_001	1	1	0.5	1	1	0.25	1	1	0.25	0.25	0.25
BCR-YT_S5_L002_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BCR-YT_S5_L002_R2_001	1	1	0.25	1	1	0.25	1	1	0.25	0.25	0.25
BCR-YT_S5_L003_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
BCR-YT_S5_L003_R2_001	1	1	0.25	1	1	0.25	1	1	0.25	0.25	0.25
BCR-YT_S5_L004_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
BCR-YT_S5_L004_R2_001	1	1	0.5	1	1	0.25	1	1	0.25	0.25	0.25
CSP-AL_S8_L007_R1_001	1	0.5	0.25	1	0.25	0.5	1	1	0.25	1	0.25
CSP-AL_S8_L007_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
CSP-AT_S7_L007_R1_001	1	0.25	0.25	1	0.25	0.5	1	1	0.25	1	0.25
CSP-AT_S7_L007_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
CSP-YL_S6_L007_R1_001	1	0.25	0.25	1	0.25	0.5	1	1	0.25	1	0.25
CSP-YL_S6_L007_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
CSP-YT_S5_L007_R1_001	1	0.5	0.25	1	0.25	0.5	1	1	0.25	1	0.25
CSP-YT_S5_L007_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
GE-AL_S4_L005_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
GE-AL_S4_L005_R2_001	1	1	0.5	1	1	1	1	1	0.25	0.5	1
GE-AL_S4_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	1
GE-AL_S4_L007_R2_001	1	1	0.25	1	1	0.5	1	1	0.25	0.5	1
GE-AT_S3_L005_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
GE-AT_S3_L005_R2_001	1	1	0.5	1	1	1	1	1	0.25	0.25	1
GE-AT_S3_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	1
GE-AT_S3_L007_R2_001	1	1	0.25	1	1	1	1	1	0.25	0.25	1
GE-YL_S2_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	1
GE-YL_S2_L007_R2_001	1	1	0.25	1	1	0.5	1	1	0.25	0.5	1
GE-YT_S1_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	1
GE-YT_S1_L007_R2_001	1	1	0.25	1	1	0.5	1	1	0.25	0.25	1
TCR-AL_S4_L001_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.25
TCR-AL_S4_L001_R2_001	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	0.25
TCR-AL_S4_L002_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
TCR-AL_S4_L002_R2_001	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	0.25
