Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
BCR-AL_S8_L001_R1_001 - illumina_universal_adapter	(1, 0.00162357986894328)	(2, 0.0033776259773552163)	(3, 0.005339451652328346)	(4, 0.007895623529325355)	(5, 0.010403474576889529)	(6, 0.013781100554244745)	(7, 0.01675283156436414)	(8, 0.019627920915617866)	(9, 0.022778438994638755)	(10, 0.034865411268968284)	(15, 0.0610562672381539)	(20, 0.09797434734142904)	(25, 0.14917219895869577)	(30, 0.22075081001414398)	(35, 0.3287903861264327)	(40, 0.4256514215577292)	(45, 0.5636827700823904)	(50, 0.7519929080485058)	(55, 0.9903808208056348)	(60, 1.2470166115897798)	(65, 1.5438872242094699)	(70, 1.8633768170866705)	(75, 2.245918327457601)	(80, 2.6961708496961756)	(85, 3.1755656641656933)	(90, 3.7093784303258817)	(95, 4.296088008466196)	(100, 4.953035777853491)	(105, 5.670258949875306)	(110, 6.463895715145618)	(115, 7.355142488703436)	(120, 8.309684716735324)	(125, 9.350939639601027)	(130, 10.453484702519336)	(135, 11.631408326519693)	(140, 12.37666047886232)
BCR-AL_S8_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.664165886567143e-06)	(4, 2.4160414716417856e-05)	(5, 2.4160414716417856e-05)	(6, 2.4160414716417856e-05)	(7, 2.899249765970143e-05)	(8, 3.3824580602985e-05)	(9, 5.3152912376119285e-05)	(10, 9.857449204298484e-05)	(15, 0.0002744623111785069)	(20, 0.0005102679588107452)	(25, 0.0006059432010877599)	(30, 0.0007006520267761178)	(35, 0.002009180087817309)	(40, 0.006817102616384463)	(45, 0.007180475253719387)	(50, 0.007528385225635805)	(55, 0.007834739284239983)	(60, 0.008339208743518787)	(65, 0.00883884611985431)	(70, 0.009657400970446546)	(75, 0.01644744392234862)	(80, 0.03131189747247755)	(85, 0.05198741397019928)	(90, 0.081373243181484)	(95, 0.12174432975602958)	(100, 0.17868849440944917)	(105, 0.26267009596371765)	(110, 0.3664951293328744)	(115, 0.4772841606398915)	(120, 0.6253527118543414)	(125, 0.8360112334331433)	(130, 1.082701631103422)	(135, 1.3538066110529354)	(140, 1.536365603899955)
BCR-AL_S8_L001_R2_001 - illumina_universal_adapter	(1, 0.0016332440348298472)	(2, 0.0033727938944119328)	(3, 0.005373276232931331)	(4, 0.007934280192871625)	(5, 0.010451795406322364)	(6, 0.01381492513484773)	(7, 0.01684464114028653)	(8, 0.01971489840859697)	(9, 0.022899241068220846)	(10, 0.03509831766683455)	(15, 0.06126211397153778)	(20, 0.09815120157715322)	(25, 0.14929976594839847)	(30, 0.22066286610457625)	(35, 0.3286367258888363)	(40, 0.4266748567251167)	(45, 0.5654909355197671)	(50, 0.7536812378288891)	(55, 0.9918420426876837)	(60, 1.2482400949910193)	(65, 1.5454151288361362)	(70, 1.865277758516558)	(75, 2.2484503389198816)	(80, 2.698950263805152)	(85, 3.1788292529855875)	(90, 3.7137591967222625)	(95, 4.3016864597642845)	(100, 4.959265299183971)	(105, 5.676958149667874)	(110, 6.4715980553572106)	(115, 7.363975536323757)	(120, 8.320467026614967)	(125, 9.36557698525282)	(130, 10.470800954954887)	(135, 11.65072796054353)	(140, 12.396032299381943)
BCR-AL_S8_L001_R2_001 - polyg	(1, 0.06969796437392223)	(2, 0.08587094598509235)	(3, 0.08676004924665652)	(4, 0.08742687669282966)	(5, 0.08798739831425055)	(6, 0.08837879703265653)	(7, 0.08894898281996398)	(8, 0.08963513859791025)	(9, 0.0903261264587998)	(10, 0.09211786281416937)	(15, 0.0937018196029777)	(20, 0.09461991536220159)	(25, 0.09518333623338844)	(30, 0.09556893645226247)	(35, 0.09594293967207262)	(40, 0.09626089072974067)	(45, 0.09657690895423142)	(50, 0.09690549059437471)	(55, 0.09728915798007143)	(60, 0.09763996720175382)	(65, 0.09799367567320218)	(70, 0.09833385431240933)	(75, 0.09914081216393769)	(80, 0.10761918489622305)	(85, 0.123162062891589)	(90, 0.14528623785570713)	(95, 0.17683587380899424)	(100, 0.2195041326147768)	(105, 0.2795504945177844)	(110, 0.37297591897640636)	(115, 0.47166734742661864)	(120, 0.5936368522478053)	(125, 0.7469791387865549)	(130, 0.9697478266378139)	(135, 1.217383379731799)	(140, 1.3751479885802418)
BCR-AL_S8_L002_R1_001 - illumina_universal_adapter	(1, 0.001605765861900491)	(2, 0.0031918290751887057)	(3, 0.004969993112446612)	(4, 0.0072850543243890365)	(5, 0.010072979103026085)	(6, 0.013540645258786654)	(7, 0.016619184104454773)	(8, 0.01956473007199003)	(9, 0.02253490435029063)	(10, 0.03456731185780756)	(15, 0.06075705752567538)	(20, 0.09682275581044654)	(25, 0.14681625639923554)	(30, 0.21630749805473287)	(35, 0.32151570111456407)	(40, 0.4143910312755411)	(45, 0.5478873120804474)	(50, 0.7340448320962452)	(55, 0.9684767966094106)	(60, 1.2242713578804363)	(65, 1.5163020453467295)	(70, 1.8323039602471483)	(75, 2.207223690425286)	(80, 2.6478822928307135)	(85, 3.119029758831207)	(90, 3.643803893824594)	(95, 4.222534717175129)	(100, 4.866270489092146)	(105, 5.56904820297314)	(110, 6.351531996682665)	(115, 7.237304955477187)	(120, 8.183024207806987)	(125, 9.215650858033106)	(130, 10.310426557909361)	(135, 11.482820841993673)	(140, 12.222124311004535)
BCR-AL_S8_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.462831076534495e-05)	(4, 3.447963507148293e-05)	(5, 3.940529722455192e-05)	(6, 3.940529722455192e-05)	(7, 3.940529722455192e-05)	(8, 5.4182283683758895e-05)	(9, 5.4182283683758895e-05)	(10, 0.0001063943025062902)	(15, 0.00024037231306976676)	(20, 0.00043148800460884363)	(25, 0.0005290161152396095)	(30, 0.000585168663784596)	(35, 0.0018382571155253474)	(40, 0.006626985860739021)	(45, 0.007017098303262084)	(50, 0.007397359421479009)	(55, 0.007697824812816219)	(60, 0.008227826060486441)	(65, 0.00876964889732403)	(70, 0.009474018585212896)	(75, 0.015975892627263965)	(80, 0.031111467291214355)	(85, 0.05167709191270801)	(90, 0.08080154709137433)	(95, 0.12062158506921465)	(100, 0.17684506314920534)	(105, 0.25829285711506234)	(110, 0.3604008484157519)	(115, 0.4680876446710075)	(120, 0.6135178197403693)	(125, 0.822976677137475)	(130, 1.0678815845204959)	(135, 1.3384590430453123)	(140, 1.5184190949401184)
BCR-AL_S8_L002_R2_001 - illumina_universal_adapter	(1, 0.0016353198348189049)	(2, 0.0032952679804031547)	(3, 0.005117762977038681)	(4, 0.007437749851134176)	(5, 0.010289708237761121)	(6, 0.013831259325817725)	(7, 0.016954129130863464)	(8, 0.019944006057776343)	(9, 0.022899403349617736)	(10, 0.03499091880297149)	(15, 0.0613146424814028)	(20, 0.09787389211391147)	(25, 0.148391483155787)	(30, 0.21852700142090575)	(35, 0.32417063301506827)	(40, 0.41877881112149495)	(45, 0.5548206741271073)	(50, 0.7435139250193048)	(55, 0.9790049068953802)	(60, 1.234972851474194)	(65, 1.5275256591287125)	(70, 1.8445619630812757)	(75, 2.222409506843198)	(80, 2.665817613862468)	(85, 3.1381807332823395)	(90, 3.6639005954091153)	(95, 4.244702167128801)	(100, 4.891579526367044)	(105, 5.599739018716482)	(110, 6.386473658864106)	(115, 7.274137086792974)	(120, 8.22215859361312)	(125, 9.256747627641023)	(130, 10.349222058159361)	(135, 11.517173394981608)	(140, 12.252614159732031)
BCR-AL_S8_L002_R2_001 - polyg	(1, 0.06578714371638944)	(2, 0.08062816378358631)	(3, 0.08148030333606723)	(4, 0.08221915265902759)	(5, 0.08282008344170201)	(6, 0.08333235230562118)	(7, 0.08391358043968332)	(8, 0.08454406519527616)	(9, 0.08531739415330798)	(10, 0.08714974047424964)	(15, 0.08895450308713412)	(20, 0.08982536015579672)	(25, 0.09040264776013643)	(30, 0.09076911702432475)	(35, 0.09116809565872333)	(40, 0.09153752032020351)	(45, 0.0918586734925836)	(50, 0.09218376719468616)	(55, 0.09257092423991739)	(60, 0.09297581366889965)	(65, 0.09336494097899209)	(70, 0.09378854792415603)	(75, 0.09461014837128794)	(80, 0.10291284449650102)	(85, 0.11885031695897105)	(90, 0.14104633575313055)	(95, 0.17283163362688475)	(100, 0.21502091510035126)	(105, 0.27447267215546334)	(110, 0.3662811038940857)	(115, 0.46244185071115973)	(120, 0.5801651761695086)	(125, 0.7322410546157911)	(130, 0.9539017622984793)	(135, 1.1984549774037712)	(140, 1.356813045360078)
BCR-AL_S8_L003_R1_001 - illumina_universal_adapter	(1, 0.0016814359544083705)	(2, 0.0032717097185174923)	(3, 0.0050848243922470004)	(4, 0.007784238138330318)	(5, 0.010346908598964762)	(6, 0.013963008814168306)	(7, 0.01693590913114937)	(8, 0.019640387443360423)	(9, 0.022836128669961875)	(10, 0.03502350059974592)	(15, 0.06070794125994655)	(20, 0.09599682512478583)	(25, 0.14613299104969615)	(30, 0.21670265547357034)	(35, 0.3214895415696549)	(40, 0.41342458465999643)	(45, 0.5470977301222363)	(50, 0.7341432992650099)	(55, 0.9672308390750318)	(60, 1.2196234920507583)	(65, 1.5067600815759796)	(70, 1.8173192765287545)	(75, 2.1916160361990875)	(80, 2.6318959892080174)	(85, 3.0977601044678185)	(90, 3.6133248329655445)	(95, 4.180695008383883)	(100, 4.8164378394398835)	(105, 5.508879501209115)	(110, 6.273522630608577)	(115, 7.133622702383607)	(120, 8.063130627112809)	(125, 9.068684025163197)	(130, 10.135638197119802)	(135, 11.270556820684174)	(140, 11.987422859061025)
BCR-AL_S8_L003_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.5193698383208167e-05)	(4, 3.0387396766416335e-05)	(5, 3.545196289415239e-05)	(6, 4.0516529021888446e-05)	(7, 4.0516529021888446e-05)	(8, 4.5581095149624504e-05)	(9, 6.583935966056872e-05)	(10, 0.00011243336803574045)	(15, 0.0003160289263707299)	(20, 0.0005814121914640991)	(25, 0.0006604194230567816)	(30, 0.0007505687001304835)	(35, 0.002080523765273972)	(40, 0.006941494334675039)	(45, 0.007289936484263279)	(50, 0.0075492422700033646)	(55, 0.007891606940238324)	(60, 0.00845174795396593)	(65, 0.009046328017362142)	(70, 0.009851594031672175)	(75, 0.016462878654818824)	(80, 0.031246347181680366)	(85, 0.05195637099121866)	(90, 0.08067955132806091)	(95, 0.1197253303464548)	(100, 0.17638161870421254)	(105, 0.2593858058849043)	(110, 0.36075714858444363)	(115, 0.4681705186743721)	(120, 0.6147309591052492)	(125, 0.8236969833620899)	(130, 1.0657680505694902)	(135, 1.3322503265125785)	(140, 1.5103599751795744)
