Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
BCR-AL_S8_L001_R1_001	0.0	0.0
BCR-AL_S8_L001_R2_001	3.9443230007776267	15.5422933133298
BCR-AL_S8_L002_R1_001	0.0	0.0
BCR-AL_S8_L002_R2_001	3.804394271868672	14.906496894197614
BCR-AL_S8_L003_R1_001	0.0	0.0
BCR-AL_S8_L003_R2_001	3.7954567600511884	15.019750794984947
BCR-AL_S8_L004_R1_001	0.0	0.0
BCR-AL_S8_L004_R2_001	3.9021772583521663	15.688178263789107
BCR-AT_S7_L001_R1_001	0.0	0.0
BCR-AT_S7_L001_R2_001	2.0481012425810063	10.74238133053022
BCR-AT_S7_L002_R1_001	0.0	0.0
BCR-AT_S7_L002_R2_001	1.9764625614465618	10.225704129916966
BCR-AT_S7_L003_R1_001	0.0	0.0
BCR-AT_S7_L003_R2_001	1.9639855944685036	10.27247768854724
BCR-AT_S7_L004_R1_001	0.0	0.0
BCR-AT_S7_L004_R2_001	1.9890103079833072	10.651178651679874
BCR-YL_S6_L001_R1_001	0.0	0.0
BCR-YL_S6_L001_R2_001	4.313043755845687	17.709168893761703
BCR-YL_S6_L002_R1_001	0.0	0.0
BCR-YL_S6_L002_R2_001	4.177046771974928	17.10911324160727
BCR-YL_S6_L003_R1_001	0.0	0.0
BCR-YL_S6_L003_R2_001	4.183773822144818	17.177922620438327
BCR-YL_S6_L004_R1_001	0.0	0.0
BCR-YL_S6_L004_R2_001	4.279218819247201	17.907089517167584
BCR-YT_S5_L001_R1_001	0.14158877613194684	0.0
BCR-YT_S5_L001_R2_001	2.2470639496092693	10.335842562159968
BCR-YT_S5_L002_R1_001	0.13443684506798415	0.0
BCR-YT_S5_L002_R2_001	2.1873738762613284	9.909565338512287
BCR-YT_S5_L003_R1_001	0.1342066690616322	0.0
BCR-YT_S5_L003_R2_001	2.184078809086121	10.047108895343598
BCR-YT_S5_L004_R1_001	0.13825762321445498	0.0
BCR-YT_S5_L004_R2_001	2.2126825359107416	10.29251319610827
CSP-AL_S8_L007_R1_001	0.0	0.0
CSP-AL_S8_L007_R2_001	1.687197609217893	0.0
CSP-AT_S7_L007_R1_001	0.0	0.0
CSP-AT_S7_L007_R2_001	1.6759385318732092	0.0
CSP-YL_S6_L007_R1_001	0.0	0.0
CSP-YL_S6_L007_R2_001	2.059368223037415	0.0
CSP-YT_S5_L007_R1_001	0.0	0.0
CSP-YT_S5_L007_R2_001	2.1338605711267715	0.0
GE-AL_S4_L005_R1_001	0.0	0.0
GE-AL_S4_L005_R2_001	0.9066099818529653	0.1443263816563215
GE-AL_S4_L007_R1_001	0.0	0.0
GE-AL_S4_L007_R2_001	0.7999798530519673	0.30628528997167614
GE-AT_S3_L005_R1_001	0.0	0.0
GE-AT_S3_L005_R2_001	1.213497051022662	0.4291144938090521
GE-AT_S3_L007_R1_001	0.0	0.0
GE-AT_S3_L007_R2_001	1.0543876910053291	0.6930551929904349
GE-YL_S2_L007_R1_001	0.0	0.0
GE-YL_S2_L007_R2_001	0.8132390097973807	0.30237947192232917
GE-YT_S1_L007_R1_001	0.0	0.0
GE-YT_S1_L007_R2_001	1.1144257584576045	0.6898331646309315
TCR-AL_S4_L001_R1_001	0.1255606110418619	0.0
TCR-AL_S4_L001_R2_001	5.875867397797816	9.315082085235733
TCR-AL_S4_L002_R1_001	0.11773149043216714	0.0
TCR-AL_S4_L002_R2_001	5.683186525078975	8.928192583873816
TCR-AL_S4_L003_R1_001	0.12021592629838981	0.0
TCR-AL_S4_L003_R2_001	5.669914233435704	8.957524223618417
TCR-AL_S4_L004_R1_001	0.12503302149330567	0.0
TCR-AL_S4_L004_R2_001	5.844543908075693	9.435468942854149
TCR-AT_S3_L001_R1_001	0.0	0.0
TCR-AT_S3_L001_R2_001	7.031663207762308	11.05405080532477
TCR-AT_S3_L002_R1_001	0.0	0.0
TCR-AT_S3_L002_R2_001	6.807322220926388	10.74099876767703
TCR-AT_S3_L003_R1_001	0.0	0.0
TCR-AT_S3_L003_R2_001	6.800931672102187	10.677939751167127
TCR-AT_S3_L004_R1_001	0.0	0.0
TCR-AT_S3_L004_R2_001	7.210415718864013	11.251602044270356
TCR-YL_S2_L001_R1_001	0.11499822286440016	0.0
TCR-YL_S2_L001_R2_001	6.201133148664805	9.84375137409899
TCR-YL_S2_L002_R1_001	0.11117191041854632	0.0
TCR-YL_S2_L002_R2_001	5.976552090708918	9.546395523172093
TCR-YL_S2_L003_R1_001	0.1102251877323563	0.0
TCR-YL_S2_L003_R2_001	5.972294616017683	9.573381267842612
TCR-YL_S2_L004_R1_001	0.11294506047357629	0.0
TCR-YL_S2_L004_R2_001	6.179267777644629	9.951170907253381
TCR-YT_S1_L001_R1_001	0.0	0.0
TCR-YT_S1_L001_R2_001	7.876375960888805	11.281154233696231
TCR-YT_S1_L002_R1_001	0.0	0.0
TCR-YT_S1_L002_R2_001	7.626044839455479	10.945966632673507
TCR-YT_S1_L003_R1_001	0.0	0.0
TCR-YT_S1_L003_R2_001	7.630611988843884	10.982560738075406
TCR-YT_S1_L004_R1_001	0.0	0.0
TCR-YT_S1_L004_R2_001	7.873878676087324	11.435004472610066
