Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BCR-AL_S8_L001_R1_001	(1, 0.004218408409486558)	(2, 0.01928967510958802)	(3, 0.0001884512347880593)	(4, 0.02690020574525964)	(5, 7.731332709253715e-05)	(6, 0.0)	(7, 0.00033824580602985)	(8, 2.4160414716417856e-05)	(9, 9.664165886567143e-06)	(10, 0.008477406315696698)	(15, 0.013085280610411913)	(20, 0.008060880765985655)	(25, 0.0006194730333289539)	(30, 2.899249765970143e-05)	(35, 0.04807246036955094)	(40, 0.000162357986894328)	(45, 0.00019424973431999957)	(50, 0.0005382940398817899)	(55, 0.00012370132334805941)	(60, 0.0008987674274507443)	(65, 0.00025513397940537256)	(70, 0.0006117417006197001)	(75, 0.019970032388002344)	(80, 0.0011867595708704452)	(85, 0.0012824348131474598)	(90, 0.007944910775346849)	(95, 0.01846532175946384)	(100, 0.016078272785481757)	(105, 0.00024063773057552185)	(110, 0.0004909396270376108)	(115, 0.016749932314598173)	(120, 0.0003121525581361187)	(125, 0.03325632764885485)	(130, 0.00722976249974088)	(135, 0.02907464306973725)	(140, 0.0006127081172083568)	(145, 0.017645800492282943)	(150, 0.00047354412844179)
BCR-AL_S8_L001_R2_001	(1, 0.1261801818979639)	(2, 0.04306835527348647)	(3, 0.00031408539131343215)	(4, 0.00027542872776716357)	(5, 4.832082943283572e-06)	(6, 0.0004880403772716407)	(7, 0.00011113790769552214)	(8, 0.0)	(9, 4.832082943283572e-06)	(10, 0.00030732047519283515)	(15, 7.731332709253713e-06)	(20, 8.601107639044757e-05)	(25, 0.00015366023759641757)	(30, 0.0291471243138865)	(35, 0.00031021972495880526)	(40, 0.02468324609088114)	(45, 0.00018458556843343243)	(50, 0.0003324473064979097)	(55, 0.041767558545154536)	(60, 0.00022227581539104428)	(65, 0.0013993712203749223)	(70, 0.014595789738482357)	(75, 0.008847543869152218)	(80, 0.016717074150583842)	(85, 0.00027542872776716357)	(90, 0.016371097011844738)	(95, 0.00043488746489552145)	(100, 0.000175887819135522)	(105, 0.01825657577631399)	(110, 0.0006059432010877599)	(115, 0.0003411450557958201)	(120, 0.0010224687507988037)	(125, 0.0002387048973982084)	(130, 0.000263831728703283)	(135, 0.00040589496723582)	(140, 0.00017492140254686528)	(145, 0.0020217435034698464)	(150, 7.972936856417893e-05)
BCR-AL_S8_L002_R1_001	(1, 0.004605494113119506)	(2, 0.01755998557569095)	(3, 0.0028864380216984285)	(4, 0.022776261795791012)	(5, 0.0009260244847769702)	(6, 1.970264861227596e-05)	(7, 0.0)	(8, 0.0009161731604708323)	(9, 0.5028312952338948)	(10, 0.11560036507037613)	(15, 0.06042211249926669)	(20, 0.1525103218481833)	(25, 0.006384643282808026)	(30, 0.18419119568429246)	(35, 0.1785119072218039)	(40, 0.0007358939256685072)	(45, 0.06811402651749923)	(50, 0.16512986828434606)	(55, 0.05915720245835858)	(60, 0.025816380476665193)	(65, 0.05277157404311993)	(70, 0.01366378681261338)	(75, 0.06440500291623827)	(80, 0.0764866670452859)	(85, 0.0634070637640265)	(90, 0.08262108669071802)	(95, 0.09749461612812514)	(100, 0.017044761314479934)	(105, 0.06584822192708749)	(110, 0.15432887631509637)	(115, 0.025264706315521468)	(120, 0.0877536266542159)	(125, 0.08377566189939739)	(130, 0.03186903413035637)	(135, 0.02344516671617778)	(140, 0.00038518678036999506)	(145, 0.04231143789486263)	(150, 0.0006575758974347103)
BCR-AL_S8_L002_R2_001	(1, 0.05384733865735021)	(2, 0.03708038468830336)	(3, 0.08083011593186214)	(4, 0.0009900580927668671)	(5, 1.4776986459206972e-05)	(6, 0.0012018615653488335)	(7, 0.1460114032034241)	(8, 0.29413591547051476)	(9, 0.00024135744550038052)	(10, 0.17734452529152656)	(15, 0.07117877350913876)	(20, 0.038455629561440226)	(25, 0.03295859059861523)	(30, 0.05829915211129395)	(35, 0.05554078130557532)	(40, 0.07140535396817992)	(45, 6.0093078267441684e-05)	(50, 0.00010048350792260741)	(55, 0.039445687654207084)	(60, 0.005779771970411154)	(65, 0.08236002659660537)	(70, 0.004667557456248176)	(75, 0.054942805920192746)	(80, 0.021204975568962003)	(85, 0.01590200769496793)	(90, 0.07744323063541189)	(95, 0.06527388972003965)	(100, 0.008427807943901043)	(105, 0.04676325134880638)	(110, 0.059978802905490486)	(115, 0.0002157440023044218)	(120, 0.09418063063154032)	(125, 0.02430026166595056)	(130, 0.043474879295417525)	(135, 0.04971569324335593)	(140, 0.00022756559147178737)	(145, 0.04734053895314607)	(150, 0.18948529736641098)
BCR-AL_S8_L003_R1_001	(1, 0.00237528151390821)	(2, 0.017736110579331665)	(3, 0.004791079556838309)	(4, 0.02388449385840324)	(5, 0.0004861983482626614)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.05748789011593197)	(15, 0.10618875800024188)	(20, 0.12852957210291116)	(25, 0.016946038263404843)	(30, 0.13555918988820884)	(35, 0.0684263400386163)	(40, 0.16805142033731224)	(45, 0.1446176728642775)	(50, 0.10921230397850032)	(55, 0.06181404250224411)	(60, 0.07275046659847735)	(65, 0.06663854819552548)	(70, 0.1773205892642948)	(75, 0.04603994484079739)	(80, 0.01490197937425057)	(85, 0.161287185817108)	(90, 0.13110642334870326)	(95, 0.079415435622578)	(100, 0.0667185683403437)	(105, 0.08912522180267356)	(110, 0.03456059925567084)	(115, 0.06580492061090013)	(120, 0.08269930029980206)	(125, 0.0588917878465404)	(130, 0.07497077238887684)	(135, 0.057021950032180246)	(140, 0.11061620170910874)	(145, 0.11487246308285813)	(150, 0.06726250274246255)
BCR-AL_S8_L003_R2_001	(1, 0.04845776871017858)	(2, 0.14103297295906594)	(3, 0.0008052660143100329)	(4, 0.0012154958706566534)	(5, 0.0001266141531934014)	(6, 0.042496774377833245)	(7, 0.07915916857651456)	(8, 5.571022740509661e-05)	(9, 0.04065833687346506)	(10, 0.0297472356078705)	(15, 0.0202491482919143)	(20, 0.061148558513059593)	(25, 0.11345337165386649)	(30, 0.08063802188581348)	(35, 0.07447039325545651)	(40, 0.056801134949010956)	(45, 0.05531620416035875)	(50, 0.07364689480308663)	(55, 0.07246482506887303)	(60, 0.08761496818338267)	(65, 0.09747162678118258)	(70, 0.16436036454341824)	(75, 0.05758411687235896)	(80, 0.1760939513481571)	(85, 0.1486156413655124)	(90, 0.10414469911108762)	(95, 0.07362562362535013)	(100, 0.21522380216427145)	(105, 0.08022981785591796)	(110, 0.10050530189169649)	(115, 0.11392235047729485)	(120, 0.0876737171504644)	(125, 0.2144144844970592)	(130, 0.09854025023413489)	(135, 0.09587831427739682)	(140, 0.14840292958814744)	(145, 0.10847895480320413)	(150, 0.16986808020733118)
BCR-AL_S8_L004_R1_001	(1, 0.004721447034953826)	(2, 0.012111047531715487)	(3, 0.0016245839260056174)	(4, 0.029609170234734326)	(5, 6.769099691690073e-05)	(6, 2.8204582048708635e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.3691848920915254e-05)	(15, 0.01812426442450017)	(20, 0.0059545513621233675)	(25, 0.0001342538105518531)	(30, 2.3691848920915254e-05)	(35, 5.189643096962389e-05)	(40, 0.000437735113395958)	(45, 0.00032830133504696855)	(50, 0.0006814227022968007)	(55, 0.02544843029090883)	(60, 0.014712638179888373)	(65, 0.0001906629746492704)	(70, 0.0003486086341220387)	(75, 0.04731600684491361)	(80, 0.021825833772572693)	(85, 0.000342967717712297)	(90, 0.0004162996310389395)	(95, 6.092189722521066e-05)	(100, 0.0008077792298750154)	(105, 0.0005686043741019661)	(110, 4.96400644057272e-05)	(115, 0.0011642851469706925)	(120, 0.00031137858581774334)	(125, 0.0004704524285724601)	(130, 0.015510263760225854)	(135, 0.0001444074600893882)	(140, 0.00036327501678736727)	(145, 9.702376224755771e-05)	(150, 0.0007643441735200041)
BCR-AL_S8_L004_R2_001	(1, 0.05547277197340014)	(2, 0.026038470147367813)	(3, 0.000310250402535795)	(4, 0.00021435482357018561)	(5, 0.0014102291024354317)	(6, 0.00040050506509166264)	(7, 3.948641486819209e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00032830133504696855)	(15, 8.122919630028087e-05)	(20, 0.017378535275132313)	(25, 0.0003959923319638693)	(30, 5.302461425157224e-05)	(35, 0.000310250402535795)	(40, 5.8665530661313965e-05)	(45, 0.007816053777338138)	(50, 0.009703504408037718)	(55, 0.00015456110962692334)	(60, 4.625551455988217e-05)	(65, 0.00013989472696159482)	(70, 1.24100161014318e-05)	(75, 0.00022902120623551414)	(80, 6.205008050715901e-05)	(85, 1.1281832819483454e-06)	(90, 0.0005765016570756045)	(95, 0.00010040831209340275)	(100, 0.0004727087951363568)	(105, 7.558827989053914e-05)	(110, 0.00021209845700628896)	(115, 0.00012184379445042132)	(120, 0.00013538199383380145)	(125, 5.8665530661313965e-05)	(130, 0.00014553564337133656)	(135, 6.092189722521066e-05)	(140, 9.363921240171268e-05)	(145, 0.0001116901449128862)	(150, 0.020840365675790812)
BCR-AT_S7_L001_R1_001	(1, 0.004457133938940478)	(2, 0.02276305582204514)	(3, 0.00030754683203811745)	(4, 0.026513291072420397)	(5, 0.00015606854163128348)	(6, 0.0)	(7, 0.0003396785906092641)	(8, 1.8361004897798058e-05)	(9, 1.8361004897798058e-05)	(10, 0.008335896223600318)	(15, 0.01370373600547158)	(20, 0.007803427081564174)	(25, 0.000632536618729143)	(30, 3.9476160530265824e-05)	(35, 0.04790386177835513)	(40, 0.00015606854163128348)	(45, 0.00019462665191665943)	(50, 0.0005370593932605931)	(55, 0.00012669093379480658)	(60, 0.0009318209985632515)	(65, 0.00024420136514071415)	(70, 0.0006013229104028864)	(75, 0.019297416147585757)	(80, 0.0011787765144386352)	(85, 0.0012834342423560842)	(90, 0.0076675556453204684)	(95, 0.01794696423735271)	(100, 0.016366081715652295)	(105, 0.00024144721440604443)	(110, 0.00045443487122050186)	(115, 0.016748908667771387)	(120, 0.00034151469109904383)	(125, 0.033681427384520755)	(130, 0.007107544995937627)	(135, 0.028940615919909294)	(140, 0.0006463073724024916)	(145, 0.017330034472786696)	(150, 0.00047968125295497427)
BCR-AT_S7_L001_R2_001	(1, 0.1233630016570807)	(2, 0.043667059898188226)	(3, 0.00035803959550706206)	(4, 0.00039476160530265824)	(5, 9.180502448899029e-06)	(6, 0.0005186983883627951)	(7, 0.00011934653183568737)	(8, 0.0)	(9, 4.5902512244495145e-06)	(10, 0.00031672733448701647)	(15, 4.5902512244495145e-06)	(20, 8.537867277476096e-05)	(25, 0.00014137973771304502)	(30, 0.028390703823220245)	(35, 0.0003231536862012458)	(40, 0.024772667808109137)	(45, 0.0001624948933455128)	(50, 0.00031764538473190635)	(55, 0.041606037098410396)	(60, 0.0002285945109775858)	(65, 0.0014670442913340648)	(70, 0.014866905665747086)	(75, 0.008609475196577508)	(80, 0.01720793379021634)	(85, 0.0002845955759158699)	(90, 0.016516641955814242)	(95, 0.00047371392636318983)	(100, 0.00017442954652908155)	(105, 0.01804427756331104)	(110, 0.0005535842976686114)	(115, 0.000358957645751952)	(120, 0.001020871872317572)	(125, 0.0002588901690589526)	(130, 0.00027633312371186077)	(135, 0.0003938435550577683)	(140, 0.00018361004897798056)	(145, 0.002057350598798272)	(150, 8.03293964278665e-05)
