Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BCR-AL_S8_L001_R1_001	(1, 37.6818467679816)	(2, 38.42262934024334)	(3, 38.49742138309773)	(4, 38.492155379106144)	(5, 38.52005862862877)	(6, 38.53809834052259)	(7, 38.54785837493475)	(8, 38.6503508164698)	(9, 38.773376711264056)	(10, 38.568728952956725)	(15, 39.18308191119898)	(20, 39.16073184602143)	(25, 39.05132807625259)	(30, 39.283752444852766)	(35, 39.129792289532226)	(40, 39.30040430521195)	(45, 39.29054733921594)	(50, 39.30214727618626)	(55, 39.26845047518462)	(60, 39.278638245578925)	(65, 39.18968477858599)	(70, 39.27102924188146)	(75, 39.27896659527908)	(80, 39.25887309350772)	(85, 39.22768453012028)	(90, 39.142441291037855)	(95, 39.13730443895916)	(100, 39.10634172712851)	(105, 39.08899037444245)	(110, 39.02713764463693)	(115, 38.93715513726039)	(120, 38.884815464443626)	(125, 38.7599124793809)	(130, 38.68592349005502)	(135, 38.59066025049808)	(140, 38.50590480052461)	(145, 38.391770208942646)	(150, 38.20462160707444)
BCR-AL_S8_L001_R2_001	(1, 38.048642066306904)	(2, 38.778684947660565)	(3, 39.19421760096843)	(4, 39.07102693214581)	(5, 39.29239489579347)	(6, 39.38846675543847)	(7, 39.337552837014954)	(8, 39.346148049512806)	(9, 39.463035266135904)	(10, 39.451881446391255)	(15, 39.42652874420107)	(20, 39.53235795162012)	(25, 39.383796837198766)	(30, 39.36826437717423)	(35, 39.39175864093608)	(40, 39.3750481384183)	(45, 39.3706878600536)	(50, 39.38114400433457)	(55, 39.33461647685198)	(60, 39.31254609263518)	(65, 39.25788835366054)	(70, 39.214742008568344)	(75, 39.10751422239052)	(80, 39.195995981446536)	(85, 39.19195204988797)	(90, 39.06207565312003)	(95, 39.04203186381799)	(100, 38.994961268197564)	(105, 38.96221317903269)	(110, 38.89130537705975)	(115, 38.84752794260684)	(120, 38.72998085673701)	(125, 38.684403896611016)	(130, 38.59680345149886)	(135, 38.45433491717738)	(140, 38.40136127507845)	(145, 38.25883027158868)	(150, 37.95488047383792)
BCR-AL_S8_L002_R1_001	(1, 37.66400107891704)	(2, 38.41980039345204)	(3, 38.50003814925338)	(4, 38.496086586047696)	(5, 38.50449212999867)	(6, 38.500688139631094)	(7, 38.51066024117323)	(8, 38.594236512268665)	(9, 38.516567686306644)	(10, 38.47568951758508)	(15, 39.11937849571164)	(20, 39.05802767916739)	(25, 38.99749540915974)	(30, 39.162527631117555)	(35, 39.00870134966591)	(40, 39.24925474977907)	(45, 39.199912126187186)	(50, 39.17193140976046)	(55, 39.18559704862204)	(60, 39.20745106884159)	(65, 39.104532313550514)	(70, 39.20324672065422)	(75, 39.194527333213514)	(80, 39.15980838977198)	(85, 39.137280085808975)	(90, 39.03750871041781)	(95, 39.03617401359551)	(100, 39.03727350019868)	(105, 38.97175490358287)	(110, 38.88493687690065)	(115, 38.851652404494)	(120, 38.75621844897893)	(125, 38.6353557034907)	(130, 38.56450706756171)	(135, 38.4681317786039)	(140, 38.36476230552316)	(145, 38.22156024387741)	(150, 38.02593858615468)
BCR-AL_S8_L002_R2_001	(1, 37.88285445471221)	(2, 38.72688754944811)	(3, 39.10805361031579)	(4, 39.028479439719725)	(5, 39.22694027866145)	(6, 39.335179832723526)	(7, 39.219036955223615)	(8, 39.19110391920653)	(9, 39.41872743646524)	(10, 39.336448505970324)	(15, 39.34377190164891)	(20, 39.46188323136638)	(25, 39.2939555081685)	(30, 39.28149789780127)	(35, 39.29762376698977)	(40, 39.272733371592594)	(45, 39.30068323367159)	(50, 39.30156163685467)	(55, 39.254365104560236)	(60, 39.23639376708682)	(65, 39.15488339750897)	(70, 39.13285384639293)	(75, 38.99756553088614)	(80, 39.106078242468584)	(85, 39.093462498643596)	(90, 38.93873015149022)	(95, 38.91200608969463)	(100, 38.89074724708437)	(105, 38.83476355023798)	(110, 38.73718537517709)	(115, 38.724428323956275)	(120, 38.548755982155114)	(125, 38.52840525432204)	(130, 38.403838253273506)	(135, 38.24149893022006)	(140, 38.19325882743923)	(145, 37.9937416112895)	(150, 37.578728311262836)
BCR-AL_S8_L003_R1_001	(1, 37.62903157189749)	(2, 38.420450961122974)	(3, 38.54809322124031)	(4, 38.53098187553849)	(5, 38.540401360788145)	(6, 38.513893624258216)	(7, 38.51420195504407)	(8, 38.57069009980639)	(9, 38.71536571130717)	(10, 38.50860818227252)	(15, 39.08592119494589)	(20, 39.059653397300835)	(25, 38.97432224456709)	(30, 39.17092799260654)	(35, 39.03467773254107)	(40, 39.17320878957478)	(45, 39.15834325481838)	(50, 39.18731330236655)	(55, 39.179396251046086)	(60, 39.180191651285575)	(65, 39.08756697635475)	(70, 39.123810166285914)	(75, 39.174690479041104)	(80, 39.173680017065564)	(85, 39.08583663694982)	(90, 39.00497938012547)	(95, 39.024837057713974)	(100, 39.00048194411272)	(105, 38.94849933866895)	(110, 38.91728412843983)	(115, 38.814185282492375)	(120, 38.72674962020819)	(125, 38.614993242855874)	(130, 38.50372257765348)	(135, 38.400059295940224)	(140, 38.24355660574399)	(145, 38.09511259239541)	(150, 37.85568022491536)
BCR-AL_S8_L003_R2_001	(1, 37.847153420091374)	(2, 38.70420452176619)	(3, 39.125065307580215)	(4, 39.02526570233276)	(5, 39.21809308145828)	(6, 39.31530499728843)	(7, 39.25077948737272)	(8, 39.281237079025665)	(9, 39.38447329626476)	(10, 39.37309921262204)	(15, 39.34377782599245)	(20, 39.43073594020733)	(25, 39.23379582951212)	(30, 39.244870151614876)	(35, 39.256691963161565)	(40, 39.245375494023094)	(45, 39.24129774847623)	(50, 39.24240257344786)	(55, 39.21219423948146)	(60, 39.17197820129706)	(65, 39.12077922604111)	(70, 39.030225877623465)	(75, 38.96519439729333)	(80, 38.99780021583155)	(85, 39.005498761511)	(90, 38.88541534608105)	(95, 38.861256717387285)	(100, 38.75731802456801)	(105, 38.77381945470019)	(110, 38.65533698913975)	(115, 38.61931042083101)	(120, 38.47595917311436)	(125, 38.36482494732345)	(130, 38.28992489653598)	(135, 38.10738760157747)	(140, 37.99711897091258)	(145, 37.7851667771755)	(150, 37.38796607429475)
BCR-AL_S8_L004_R1_001	(1, 37.5772262891976)	(2, 38.398926398225235)	(3, 38.529121569420276)	(4, 38.48461101594258)	(5, 38.44606291110999)	(6, 38.3986197580092)	(7, 38.40555481346166)	(8, 38.497890974172726)	(9, 38.63557468753836)	(10, 38.410194828227326)	(15, 39.0614987824646)	(20, 39.05754474826169)	(25, 38.88772028906764)	(30, 39.14623112323732)	(35, 38.985893737770496)	(40, 39.166618004361105)	(45, 39.138497336584905)	(50, 39.14330545065958)	(55, 39.10577244001675)	(60, 39.11911776518625)	(65, 39.019340333184104)	(70, 39.115057929955164)	(75, 39.10371569420276)	(80, 39.07869507101237)	(85, 39.05958666974736)	(90, 38.96369048156278)	(95, 38.96348910084695)	(100, 38.93497002642656)	(105, 38.89602477851506)	(110, 38.843702841938814)	(115, 38.741548553398275)	(120, 38.658926998418735)	(125, 38.51909299028138)	(130, 38.40581208437728)	(135, 38.28933113172126)	(140, 38.13498997270698)	(145, 37.96734419337603)	(150, 37.69766995178596)
BCR-AL_S8_L004_R2_001	(1, 37.61170255492899)	(2, 38.59977314490567)	(3, 39.01991999375438)	(4, 38.89024672014556)	(5, 39.116458975645685)	(6, 39.21776836772638)	(7, 39.15840043015372)	(8, 39.16616876177823)	(9, 39.319749931406456)	(10, 39.3033408440255)	(15, 39.264685742290446)	(20, 39.36899589882813)	(25, 39.17363938839831)	(30, 39.164539146154794)	(35, 39.17847108150357)	(40, 39.168611052947)	(45, 39.160039522516726)	(50, 39.16701889300852)	(55, 39.146656042188646)	(60, 39.10469267836127)	(65, 39.05542629082218)	(70, 38.998676753828605)	(75, 38.86206143003098)	(80, 38.97775883683401)	(85, 38.964818935608704)	(90, 38.82955165545102)	(95, 38.7921354569052)	(100, 38.752496286020644)	(105, 38.70950862202791)	(110, 38.60568924778154)	(115, 38.560899062795585)	(120, 38.401285000758136)	(125, 38.346631831375404)	(130, 38.211513268337946)	(135, 38.02464958627263)	(140, 37.929571601731446)	(145, 37.690563040174155)	(150, 37.3067506087677)
BCR-AT_S7_L001_R1_001	(1, 37.542894796032186)	(2, 38.33639316419788)	(3, 38.39997585527856)	(4, 38.447968308905544)	(5, 38.54579280524023)	(6, 38.390960693678764)	(7, 38.55696933253157)	(8, 38.6908783445718)	(9, 38.73961138933134)	(10, 38.573580203164525)	(15, 39.1674687610453)	(20, 39.23653847319064)	(25, 39.05992284705742)	(30, 39.26790235617595)	(35, 39.1298343011113)	(40, 39.285209384309596)	(45, 39.26138524601451)	(50, 39.28414571293487)	(55, 39.25303510165112)	(60, 39.25741572528265)	(65, 39.16246793939032)	(70, 39.24494636291444)	(75, 39.237073843371455)	(80, 39.20904455756864)	(85, 39.19429027830694)	(90, 39.13908810069175)	(95, 39.11111582580915)	(100, 39.08826724442629)	(105, 39.06717581121215)	(110, 38.98295612178855)	(115, 38.90195348239409)	(120, 38.850707513782226)	(125, 38.72981168035327)	(130, 38.655926996644524)	(135, 38.54313839148416)	(140, 38.46322883779429)	(145, 38.348088940707726)	(150, 38.170780526318204)
BCR-AT_S7_L001_R2_001	(1, 37.75266174897752)	(2, 38.546105217738564)	(3, 39.02082578619528)	(4, 39.16504688941626)	(5, 39.23886473906717)	(6, 39.24179561447398)	(7, 39.26918573533529)	(8, 39.305538505322396)	(9, 39.35843665223798)	(10, 39.341472883090894)	(15, 39.38704640284963)	(20, 39.433840966156076)	(25, 39.26413891936305)	(30, 39.229878624577125)	(35, 39.24229589677443)	(40, 39.22846583705526)	(45, 39.23273280606648)	(50, 39.21758569310499)	(55, 39.15047486148917)	(60, 39.13860511445792)	(65, 39.09900547616971)	(70, 39.054808774724236)	(75, 39.007174636107834)	(80, 39.01616054862683)	(85, 38.99797951829903)	(90, 38.90384240749496)	(95, 38.87345000527879)	(100, 38.821868838161514)	(105, 38.76177325077001)	(110, 38.70244201365141)	(115, 38.64508175696456)	(120, 38.559158331535485)	(125, 38.493123050864575)	(130, 38.4022290443556)	(135, 38.28916315129927)	(140, 38.20132992430676)	(145, 38.08950150789754)	(150, 37.80212496499934)
