Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
BCR-AL_S8_L001_R1_001	(16.0, 2.0)	(17.0, 51.0)	(18.0, 516.0)	(19.0, 2032.0)	(20.0, 5721.0)	(21.0, 9668.0)	(22.0, 11227.0)	(23.0, 12048.0)	(24.0, 13938.0)	(25.0, 16499.0)	(26.0, 18743.0)	(27.0, 22053.0)	(28.0, 28145.0)	(29.0, 36015.0)	(30.0, 49139.0)	(31.0, 70354.0)	(32.0, 134301.0)	(33.0, 255191.0)	(34.0, 284289.0)	(35.0, 347728.0)	(36.0, 540376.0)	(37.0, 945081.0)	(38.0, 2146526.0)	(39.0, 12067787.0)	(40.0, 3677579.0)			
BCR-AL_S8_L001_R2_001	(14.0, 2.0)	(15.0, 62.0)	(16.0, 1303.0)	(17.0, 6917.0)	(18.0, 12736.0)	(19.0, 12640.0)	(20.0, 13916.0)	(21.0, 14272.0)	(22.0, 14044.0)	(23.0, 14318.0)	(24.0, 17811.0)	(25.0, 21053.0)	(26.0, 21415.0)	(27.0, 22159.0)	(28.0, 25912.0)	(29.0, 32037.0)	(30.0, 41252.0)	(31.0, 53414.0)	(32.0, 75457.0)	(33.0, 108485.0)	(34.0, 161720.0)	(35.0, 250361.0)	(36.0, 468818.0)	(37.0, 929522.0)	(38.0, 2338758.0)	(39.0, 12517757.0)	(40.0, 3518868.0)	
BCR-AL_S8_L002_R1_001	(16.0, 2.0)	(17.0, 42.0)	(18.0, 448.0)	(19.0, 2118.0)	(20.0, 5822.0)	(21.0, 10418.0)	(22.0, 11953.0)	(23.0, 13123.0)	(24.0, 15594.0)	(25.0, 17622.0)	(26.0, 20906.0)	(27.0, 24344.0)	(28.0, 31456.0)	(29.0, 40415.0)	(30.0, 55431.0)	(31.0, 78029.0)	(32.0, 142622.0)	(33.0, 261378.0)	(34.0, 300197.0)	(35.0, 375284.0)	(36.0, 591974.0)	(37.0, 1034106.0)	(38.0, 2386056.0)	(39.0, 11910920.0)	(40.0, 2971579.0)			
BCR-AL_S8_L002_R2_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 70.0)	(16.0, 1323.0)	(17.0, 7043.0)	(18.0, 12966.0)	(19.0, 13309.0)	(20.0, 14949.0)	(21.0, 16277.0)	(22.0, 15931.0)	(23.0, 16147.0)	(24.0, 19777.0)	(25.0, 22512.0)	(26.0, 24516.0)	(27.0, 25666.0)	(28.0, 30788.0)	(29.0, 38023.0)	(30.0, 49480.0)	(31.0, 63861.0)	(32.0, 90003.0)	(33.0, 128271.0)	(34.0, 189180.0)	(35.0, 289367.0)	(36.0, 536043.0)	(37.0, 1047051.0)	(38.0, 2614877.0)	(39.0, 12100592.0)	(40.0, 2933814.0)
BCR-AL_S8_L003_R1_001	(17.0, 47.0)	(18.0, 464.0)	(19.0, 1871.0)	(20.0, 5811.0)	(21.0, 10048.0)	(22.0, 11738.0)	(23.0, 13013.0)	(24.0, 15005.0)	(25.0, 17554.0)	(26.0, 20519.0)	(27.0, 24155.0)	(28.0, 30950.0)	(29.0, 40102.0)	(30.0, 54981.0)	(31.0, 78884.0)	(32.0, 143983.0)	(33.0, 259178.0)	(34.0, 296115.0)	(35.0, 375995.0)	(36.0, 599269.0)	(37.0, 1045079.0)	(38.0, 2433356.0)	(39.0, 11476439.0)	(40.0, 2790472.0)				
BCR-AL_S8_L003_R2_001	(14.0, 1.0)	(15.0, 75.0)	(16.0, 1338.0)	(17.0, 7125.0)	(18.0, 12858.0)	(19.0, 13298.0)	(20.0, 15535.0)	(21.0, 17196.0)	(22.0, 16756.0)	(23.0, 17404.0)	(24.0, 21087.0)	(25.0, 23831.0)	(26.0, 25249.0)	(27.0, 26742.0)	(28.0, 32957.0)	(29.0, 40279.0)	(30.0, 52488.0)	(31.0, 68186.0)	(32.0, 95615.0)	(33.0, 135445.0)	(34.0, 200337.0)	(35.0, 310049.0)	(36.0, 570447.0)	(37.0, 1108642.0)	(38.0, 2770801.0)	(39.0, 11470262.0)	(40.0, 2691025.0)	
BCR-AL_S8_L004_R1_001	(17.0, 18.0)	(18.0, 345.0)	(19.0, 1557.0)	(20.0, 4963.0)	(21.0, 9478.0)	(22.0, 11807.0)	(23.0, 13170.0)	(24.0, 15328.0)	(25.0, 18076.0)	(26.0, 21763.0)	(27.0, 25772.0)	(28.0, 33286.0)	(29.0, 43048.0)	(30.0, 58094.0)	(31.0, 80202.0)	(32.0, 135075.0)	(33.0, 238977.0)	(34.0, 294680.0)	(35.0, 366675.0)	(36.0, 577853.0)	(37.0, 992209.0)	(38.0, 2193101.0)	(39.0, 10239769.0)	(40.0, 2352370.0)				
BCR-AL_S8_L004_R2_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 46.0)	(16.0, 1170.0)	(17.0, 6416.0)	(18.0, 11706.0)	(19.0, 12732.0)	(20.0, 15775.0)	(21.0, 17969.0)	(22.0, 17903.0)	(23.0, 18185.0)	(24.0, 21681.0)	(25.0, 24963.0)	(26.0, 27110.0)	(27.0, 28684.0)	(28.0, 34711.0)	(29.0, 42784.0)	(30.0, 54869.0)	(31.0, 69528.0)	(32.0, 95846.0)	(33.0, 134195.0)	(34.0, 195435.0)	(35.0, 297829.0)	(36.0, 537813.0)	(37.0, 1028350.0)	(38.0, 2458360.0)	(39.0, 10395731.0)	(40.0, 2177822.0)
BCR-AT_S7_L001_R1_001	(16.0, 2.0)	(17.0, 77.0)	(18.0, 624.0)	(19.0, 2597.0)	(20.0, 7218.0)	(21.0, 11720.0)	(22.0, 13563.0)	(23.0, 14378.0)	(24.0, 17075.0)	(25.0, 19320.0)	(26.0, 22698.0)	(27.0, 26011.0)	(28.0, 32728.0)	(29.0, 41420.0)	(30.0, 55400.0)	(31.0, 77648.0)	(32.0, 146971.0)	(33.0, 255813.0)	(34.0, 289010.0)	(35.0, 366258.0)	(36.0, 588954.0)	(37.0, 1024207.0)	(38.0, 2321359.0)	(39.0, 12563243.0)	(40.0, 3887006.0)			
BCR-AT_S7_L001_R2_001	(14.0, 5.0)	(15.0, 101.0)	(16.0, 1770.0)	(17.0, 9029.0)	(18.0, 18209.0)	(19.0, 21951.0)	(20.0, 25769.0)	(21.0, 27481.0)	(22.0, 26518.0)	(23.0, 27317.0)	(24.0, 33822.0)	(25.0, 39909.0)	(26.0, 40076.0)	(27.0, 37715.0)	(28.0, 41246.0)	(29.0, 48033.0)	(30.0, 58139.0)	(31.0, 71349.0)	(32.0, 95548.0)	(33.0, 130189.0)	(34.0, 186912.0)	(35.0, 285291.0)	(36.0, 524315.0)	(37.0, 1024944.0)	(38.0, 2565073.0)	(39.0, 12845416.0)	(40.0, 3599173.0)	
