Sample	Unique Reads	Duplicate Reads
BCR-AL_S8_L001_R1_001	5197127.0	15497882.0
BCR-AL_S8_L001_R2_001	2479757.0	18215252.0
BCR-AL_S8_L002_R1_001	5183125.0	15118714.0
BCR-AL_S8_L002_R2_001	2588248.0	17713591.0
BCR-AL_S8_L003_R1_001	4805534.0	14939494.0
BCR-AL_S8_L003_R2_001	2246324.0	17498704.0
BCR-AL_S8_L004_R1_001	4491758.0	13235858.0
BCR-AL_S8_L004_R2_001	2215237.0	15512379.0
BCR-AT_S7_L001_R1_001	7373990.0	14411310.0
BCR-AT_S7_L001_R2_001	3482511.0	18302789.0
BCR-AT_S7_L002_R1_001	7400671.0	14039300.0
BCR-AT_S7_L002_R2_001	3578128.0	17861843.0
BCR-AT_S7_L003_R1_001	6952717.0	13852069.0
BCR-AT_S7_L003_R2_001	3189556.0	17615230.0
BCR-AT_S7_L004_R1_001	6516429.0	12620777.0
BCR-AT_S7_L004_R2_001	3167942.0	15969264.0
BCR-YL_S6_L001_R1_001	4631975.0	11782906.0
BCR-YL_S6_L001_R2_001	2140472.0	14274409.0
BCR-YL_S6_L002_R1_001	4629662.0	11532666.0
BCR-YL_S6_L002_R2_001	2251370.0	13910958.0
BCR-YL_S6_L003_R1_001	4343045.0	11300750.0
BCR-YL_S6_L003_R2_001	1944719.0	13699076.0
BCR-YL_S6_L004_R1_001	4009311.0	9885655.0
BCR-YL_S6_L004_R2_001	1910415.0	11984551.0
BCR-YT_S5_L001_R1_001	5972788.0	13578903.0
BCR-YT_S5_L001_R2_001	3298488.0	16253203.0
BCR-YT_S5_L002_R1_001	5986777.0	13282494.0
BCR-YT_S5_L002_R2_001	3383678.0	15885593.0
BCR-YT_S5_L003_R1_001	5785828.0	13326486.0
BCR-YT_S5_L003_R2_001	3077324.0	16034990.0
BCR-YT_S5_L004_R1_001	5475601.0	12363560.0
BCR-YT_S5_L004_R2_001	3059558.0	14779603.0
CSP-AL_S8_L007_R1_001	62922598.0	93455350.0
CSP-AL_S8_L007_R2_001	52131754.0	104246194.0
CSP-AT_S7_L007_R1_001	76271444.0	97030795.0
CSP-AT_S7_L007_R2_001	64590752.0	108711487.0
CSP-YL_S6_L007_R1_001	61351574.0	106501555.0
CSP-YL_S6_L007_R2_001	48737523.0	119115606.0
CSP-YT_S5_L007_R1_001	51488131.0	97924021.0
CSP-YT_S5_L007_R2_001	39863343.0	109548809.0
GE-AL_S4_L005_R1_001	257532524.0	314490408.0
GE-AL_S4_L005_R2_001	91701594.0	480321338.0
GE-AL_S4_L007_R1_001	62155943.0	10986649.0
GE-AL_S4_L007_R2_001	21022010.0	52120582.0
GE-AT_S3_L005_R1_001	345812915.0	365167964.0
GE-AT_S3_L005_R2_001	122088397.0	588892482.0
GE-AT_S3_L007_R1_001	37764011.0	4431474.0
GE-AT_S3_L007_R2_001	14179426.0	28016059.0
GE-YL_S2_L007_R1_001	40297479.0	5458934.0
GE-YL_S2_L007_R2_001	13715456.0	32040957.0
GE-YT_S1_L007_R1_001	30755675.0	4298163.0
GE-YT_S1_L007_R2_001	12428177.0	22625661.0
TCR-AL_S4_L001_R1_001	2766350.0	15435218.0
TCR-AL_S4_L001_R2_001	1954812.0	16246756.0
TCR-AL_S4_L002_R1_001	2730926.0	15124110.0
TCR-AL_S4_L002_R2_001	2040083.0	15814953.0
TCR-AL_S4_L003_R1_001	2411140.0	14977571.0
TCR-AL_S4_L003_R2_001	1760016.0	15628695.0
TCR-AL_S4_L004_R1_001	2313201.0	13623389.0
TCR-AL_S4_L004_R2_001	1786745.0	14149845.0
TCR-AT_S3_L001_R1_001	3147044.0	12468209.0
TCR-AT_S3_L001_R2_001	1799384.0	13815869.0
TCR-AT_S3_L002_R1_001	3135981.0	12135178.0
TCR-AT_S3_L002_R2_001	1921076.0	13350083.0
TCR-AT_S3_L003_R1_001	2860396.0	11920770.0
TCR-AT_S3_L003_R2_001	1636261.0	13144905.0
TCR-AT_S3_L004_R1_001	2596704.0	10576309.0
TCR-AT_S3_L004_R2_001	1607360.0	11565653.0
TCR-YL_S2_L001_R1_001	3295772.0	22402886.0
TCR-YL_S2_L001_R2_001	2264382.0	23434276.0
TCR-YL_S2_L002_R1_001	3234281.0	21979822.0
TCR-YL_S2_L002_R2_001	2379520.0	22834583.0
TCR-YL_S2_L003_R1_001	2977372.0	21612289.0
TCR-YL_S2_L003_R2_001	2050017.0	22539644.0
TCR-YL_S2_L004_R1_001	2756160.0	19716713.0
TCR-YL_S2_L004_R2_001	2094608.0	20378265.0
TCR-YT_S1_L001_R1_001	3117915.0	14823547.0
TCR-YT_S1_L001_R2_001	1971331.0	15970131.0
TCR-YT_S1_L002_R1_001	3252492.0	14515788.0
TCR-YT_S1_L002_R2_001	2138548.0	15629732.0
TCR-YT_S1_L003_R1_001	2858807.0	14348974.0
TCR-YT_S1_L003_R2_001	1805735.0	15402046.0
TCR-YT_S1_L004_R1_001	2796509.0	13127079.0
TCR-YT_S1_L004_R2_001	1846935.0	14076653.0
