Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BCR-AL_S8_L001_R1_001	(1.0, 17.227661953102054)	(2.0, 3.2477245180220624)	(3.0, 1.709916546468771)	(4.0, 1.7877427366058227)	(5.0, 2.233171888002108)	(6.0, 2.624770081266135)	(7.0, 3.164164348352015)	(8.0, 3.313855391098306)	(9.0, 3.4604081185781905)	('>10', 56.11533264745459)	('>50', 4.455481364253694)	('>100', 0.4375973868998812)	('>500', 0.10192482763185995)	('>1k', 0.12024819226447821)	('>5k', 0.0)	('>10k+', 0.0)
BCR-AL_S8_L001_R2_001	(1.0, 9.414298898356046)	(2.0, 2.7575215150147496)	(3.0, 1.011017110669645)	(4.0, 0.6298415470270706)	(5.0, 0.41262349981988755)	(6.0, 0.35970863263227376)	(7.0, 0.2900459414019286)	(8.0, 0.2537331471436648)	(9.0, 0.24418954122767156)	('>10', 5.76559379415936)	('>50', 5.066471058626432)	('>100', 21.72523536069116)	('>500', 10.918261090189889)	('>1k', 17.701400707033795)	('>5k', 2.6043434780790835)	('>10k+', 20.845714677927273)
BCR-AL_S8_L002_R1_001	(1.0, 17.344071171265654)	(2.0, 3.2889007249264335)	(3.0, 1.779430778346617)	(4.0, 2.083692503090339)	(5.0, 2.459316425164408)	(6.0, 2.983596508584695)	(7.0, 3.4327653177839577)	(8.0, 3.6275120862978487)	(9.0, 3.6803267427366464)	('>10', 55.05823258307745)	('>50', 3.679336120124468)	('>100', 0.3801369440776208)	('>500', 0.10099087492561833)	('>1k', 0.10169121959807303)	('>5k', 0.0)	('>10k+', 0.0)
BCR-AL_S8_L002_R2_001	(1.0, 10.174378129542006)	(2.0, 2.7299024975755417)	(3.0, 0.9960499172681776)	(4.0, 0.5864079559278299)	(5.0, 0.43609422461180325)	(6.0, 0.357015027865535)	(7.0, 0.3157671879800189)	(8.0, 0.27081877781005687)	(9.0, 0.2504013615346783)	('>10', 6.224791752843654)	('>50', 5.3329559348293705)	('>100', 21.85344070638033)	('>500', 10.781246629562848)	('>1k', 16.992604009127152)	('>5k', 2.5679187056892085)	('>10k+', 20.13020718145183)
BCR-AL_S8_L003_R1_001	(1.0, 15.837980703596372)	(2.0, 3.4309296404281255)	(3.0, 1.9352598838060149)	(4.0, 2.1365324090193787)	(5.0, 2.6763864858673334)	(6.0, 3.1989457531951406)	(7.0, 3.5941578263151843)	(8.0, 3.785821538610843)	(9.0, 3.789784740972182)	('>10', 55.529649000802884)	('>50', 3.4715497518657963)	('>100', 0.394918281302348)	('>500', 0.11204061694761061)	('>1k', 0.10604336727073559)	('>5k', 0.0)	('>10k+', 0.0)
BCR-AL_S8_L003_R2_001	(1.0, 8.730943057919545)	(2.0, 2.8273790539288988)	(3.0, 1.0652727985000876)	(4.0, 0.5928624895010235)	(5.0, 0.4401467841787078)	(6.0, 0.3545503187837922)	(7.0, 0.28933246951716085)	(8.0, 0.27133882184826424)	(9.0, 0.24825406473667047)	('>10', 6.1483858214648075)	('>50', 5.432642961952055)	('>100', 22.53388320423555)	('>500', 10.910794208754735)	('>1k', 16.947982940260363)	('>5k', 2.491796301879563)	('>10k+', 20.71443470253877)
BCR-AL_S8_L004_R1_001	(1.0, 16.46435235803937)	(2.0, 3.4732452908970224)	(3.0, 2.18240423115603)	(4.0, 2.5296956166419475)	(5.0, 3.0813329128349958)	(6.0, 3.5820447616472704)	(7.0, 3.8492841748600015)	(8.0, 4.07615479819216)	(9.0, 4.024223958072543)	('>10', 53.44147507829494)	('>50', 2.7246060725569325)	('>100', 0.361448122778513)	('>500', 0.10736802469375073)	('>1k', 0.10236459933446618)	('>5k', 0.0)	('>10k+', 0.0)
BCR-AL_S8_L004_R2_001	(1.0, 9.915648479783252)	(2.0, 2.6812005969419803)	(3.0, 0.9928685010267179)	(4.0, 0.5915287355422124)	(5.0, 0.4442584002352594)	(6.0, 0.34236134666516815)	(7.0, 0.3163735920258548)	(8.0, 0.2888760276908414)	(9.0, 0.2869437521888757)	('>10', 6.591923416137428)	('>50', 5.72293026921583)	('>100', 22.8648185187081)	('>500', 10.432915775363618)	('>1k', 15.79043377883008)	('>5k', 1.9876876753159956)	('>10k+', 20.749231134328824)
BCR-AT_S7_L001_R1_001	(1.0, 26.18513539864127)	(2.0, 5.309223726342604)	(3.0, 2.027287104664715)	(4.0, 1.3398997617030717)	(5.0, 1.4610223863016474)	(6.0, 1.7939236210793095)	(7.0, 2.0932539160982095)	(8.0, 2.297551758520636)	(9.0, 2.5124748122589735)	('>10', 44.75130296168373)	('>50', 6.3486867691203095)	('>100', 1.7529601650587034)	('>500', 0.6370617446472556)	('>1k', 1.0889999711533234)	('>5k', 0.2519384072226839)	('>10k+', 0.1492774955034791)
BCR-AT_S7_L001_R2_001	(1.0, 12.73634901291126)	(2.0, 3.578586050024223)	(3.0, 1.4678479911716547)	(4.0, 0.8105382982468003)	(5.0, 0.585855014735058)	(6.0, 0.4389408192940966)	(7.0, 0.37862693552684873)	(8.0, 0.3221707316232915)	(9.0, 0.2981017769993711)	('>10', 5.6191978645952165)	('>50', 4.443772946813906)	('>100', 21.21617066286362)	('>500', 11.776077985433906)	('>1k', 18.33336962146704)	('>5k', 3.772244649908819)	('>10k+', 14.222149638384904)
