Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BCR-AL_S8_L001_R1_001	BCR-AL_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20695009.0	3.1 Gbp	0.0	151.0	49.0	25.112946025791196	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AL_S8_L001_R2_001	BCR-AL_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20695009.0	3.1 Gbp	0.0	151.0	50.0	11.982387414982615	151.0	151	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
BCR-AL_S8_L002_R1_001	BCR-AL_S8_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20301839.0	3 Gbp	0.0	151.0	49.0	25.530321638021668	151.0	151	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AL_S8_L002_R2_001	BCR-AL_S8_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20301839.0	3 Gbp	0.0	151.0	50.0	12.748830306204662	151.0	151	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
BCR-AL_S8_L003_R1_001	BCR-AL_S8_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19745028.0	2.9 Gbp	0.0	151.0	49.0	24.337939859622455	151.0	151	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AL_S8_L003_R2_001	BCR-AL_S8_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19745028.0	2.9 Gbp	0.0	151.0	50.0	11.376652137294768	151.0	151	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
BCR-AL_S8_L004_R1_001	BCR-AL_S8_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17727616.0	2.6 Gbp	0.0	151.0	49.0	25.33763057984756	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AL_S8_L004_R2_001	BCR-AL_S8_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17727616.0	2.6 Gbp	0.0	151.0	50.0	12.49596410997411	151.0	151	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
BCR-AT_S7_L001_R1_001	BCR-AT_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21785300.0	3.2 Gbp	0.0	151.0	50.0	33.848462253491526	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AT_S7_L001_R2_001	BCR-AT_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21785300.0	3.2 Gbp	0.0	151.0	51.0	15.985595997103076	151.0	151	pass	pass	warn	pass	pass	fail	pass	pass	fail	fail	fail
BCR-AT_S7_L002_R1_001	BCR-AT_S7_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21439971.0	3.2 Gbp	0.0	151.0	50.0	34.518098531329606	151.0	151	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AT_S7_L002_R2_001	BCR-AT_S7_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21439971.0	3.2 Gbp	0.0	151.0	51.0	16.68904975618289	151.0	151	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	fail
BCR-AT_S7_L003_R1_001	BCR-AT_S7_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20804786.0	3.1 Gbp	0.0	151.0	50.0	33.41882994730384	151.0	151	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	fail
BCR-AT_S7_L003_R2_001	BCR-AT_S7_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20804786.0	3.1 Gbp	0.0	151.0	51.0	15.330873636346448	151.0	151	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	fail
