Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BCR-AL_S8_L001_R1_001	74.88705397420881	49.0	151.0	151	27.27272727272727	20.695009
BCR-AL_S8_L001_R2_001	88.01761258501739	50.0	151.0	151	36.36363636363637	20.695009
BCR-AL_S8_L002_R1_001	74.46967836197834	49.0	151.0	151	36.36363636363637	20.301838999999998
BCR-AL_S8_L002_R2_001	87.25116969379533	50.0	151.0	151	45.45454545454545	20.301838999999998
BCR-AL_S8_L003_R1_001	75.66206014037755	49.0	151.0	151	36.36363636363637	19.745027999999998
BCR-AL_S8_L003_R2_001	88.62334786270523	50.0	151.0	151	45.45454545454545	19.745027999999998
BCR-AL_S8_L004_R1_001	74.66236942015244	49.0	151.0	151	27.27272727272727	17.727615999999998
BCR-AL_S8_L004_R2_001	87.50403589002589	50.0	151.0	151	36.36363636363637	17.727615999999998
BCR-AT_S7_L001_R1_001	66.15153774650847	50.0	151.0	151	27.27272727272727	21.7853
BCR-AT_S7_L001_R2_001	84.01440400289692	51.0	151.0	151	36.36363636363637	21.7853
BCR-AT_S7_L002_R1_001	65.4819014686704	50.0	151.0	151	36.36363636363637	21.439971
BCR-AT_S7_L002_R2_001	83.3109502438171	51.0	151.0	151	45.45454545454545	21.439971
BCR-AT_S7_L003_R1_001	66.58117005269617	50.0	151.0	151	36.36363636363637	20.804786
BCR-AT_S7_L003_R2_001	84.66912636365355	51.0	151.0	151	45.45454545454545	20.804786
BCR-AT_S7_L004_R1_001	65.94890329686393	50.0	151.0	151	27.27272727272727	19.137206
BCR-AT_S7_L004_R2_001	83.44616642290576	51.0	151.0	151	36.36363636363637	19.137206
BCR-YL_S6_L001_R1_001	71.78185875352928	49.0	151.0	151	27.27272727272727	16.414880999999998
BCR-YL_S6_L001_R2_001	86.96017497738751	51.0	151.0	151	36.36363636363637	16.414880999999998
BCR-YL_S6_L002_R1_001	71.35523070387805	49.0	151.0	151	36.36363636363637	16.162328
BCR-YL_S6_L002_R2_001	86.07026492544156	51.0	151.0	151	45.45454545454545	16.162328
BCR-YL_S6_L003_R1_001	72.23791246420883	49.0	151.0	151	36.36363636363637	15.643794999999999
BCR-YL_S6_L003_R2_001	87.5687532522709	51.0	151.0	151	45.45454545454545	15.643794999999999
BCR-YL_S6_L004_R1_001	71.14559293857289	49.0	151.0	151	27.27272727272727	13.894966
BCR-YL_S6_L004_R2_001	86.25103178131243	51.0	151.0	151	36.36363636363637	13.894966
BCR-YT_S5_L001_R1_001	69.45130131544633	49.0	151.0	151	27.27272727272727	19.551690999999998
BCR-YT_S5_L001_R2_001	83.12939787488182	51.0	151.0	151	36.36363636363637	19.551690999999998
BCR-YT_S5_L002_R1_001	68.93096733279083	49.0	151.0	151	36.36363636363637	19.269271
BCR-YT_S5_L002_R2_001	82.44003440349051	51.0	151.0	151	45.45454545454545	19.269271
BCR-YT_S5_L003_R1_001	69.72722802040784	49.0	151.0	151	36.36363636363637	19.112313999999998
BCR-YT_S5_L003_R2_001	83.89873894579395	51.0	151.0	151	45.45454545454545	19.112313999999998
BCR-YT_S5_L004_R1_001	69.30572957958034	49.0	151.0	151	27.27272727272727	17.839161
BCR-YT_S5_L004_R2_001	82.84920874295815	51.0	151.0	151	36.36363636363637	17.839161
CSP-AL_S8_L007_R1_001	59.76248670798997	51.0	151.0	151	36.36363636363637	156.377948
CSP-AL_S8_L007_R2_001	66.66297631443312	49.0	151.0	151	54.54545454545454	156.377948
CSP-AT_S7_L007_R1_001	55.98934905927024	52.0	151.0	151	45.45454545454545	173.302239
CSP-AT_S7_L007_R2_001	62.72941908779848	49.0	151.0	151	54.54545454545454	173.302239
CSP-YL_S6_L007_R1_001	63.449252370105484	52.0	151.0	151	45.45454545454545	167.853129
CSP-YL_S6_L007_R2_001	70.96418568728322	50.0	151.0	151	54.54545454545454	167.853129
CSP-YT_S5_L007_R1_001	65.53952986500353	54.0	151.0	151	36.36363636363637	149.412152
CSP-YT_S5_L007_R2_001	73.31987938500383	50.0	151.0	151	54.54545454545454	149.412152
GE-AL_S4_L005_R1_001	54.97863650787427	53.0	151.0	151	18.181818181818183	572.022932
GE-AL_S4_L005_R2_001	83.96889551569085	53.0	151.0	151	9.090909090909092	572.022932
GE-AL_S4_L007_R1_001	15.02086378642872	52.0	151.0	151	9.090909090909092	73.142592
GE-AL_S4_L007_R2_001	71.25886711742605	52.0	151.0	151	18.181818181818183	73.142592
GE-AT_S3_L005_R1_001	51.3611512849541	52.0	151.0	151	18.181818181818183	710.980879
GE-AT_S3_L005_R2_001	82.82817436820783	53.0	151.0	151	18.181818181818183	710.980879
GE-AT_S3_L007_R1_001	10.502248484574778	52.0	151.0	151	9.090909090909092	42.195485
GE-AT_S3_L007_R2_001	66.3958712768757	53.0	151.0	151	27.27272727272727	42.195485
GE-YL_S2_L007_R1_001	11.930424819228307	53.0	151.0	151	9.090909090909092	45.756412999999995
GE-YL_S2_L007_R2_001	70.02506419167617	53.0	151.0	151	18.181818181818183	45.756412999999995
GE-YT_S1_L007_R1_001	12.261606300840725	52.0	151.0	151	9.090909090909092	35.053838
GE-YT_S1_L007_R2_001	64.54546282029149	52.0	151.0	151	27.27272727272727	35.053838
TCR-AL_S4_L001_R1_001	84.80158680768022	49.0	151.0	151	27.27272727272727	18.201567999999998
TCR-AL_S4_L001_R2_001	89.26020102275072	49.0	151.0	151	36.36363636363637	18.201567999999998
TCR-AL_S4_L002_R1_001	84.70501481215315	49.0	151.0	151	36.36363636363637	17.855036
TCR-AL_S4_L002_R2_001	88.5741919146489	49.0	151.0	151	45.45454545454545	17.855036
TCR-AL_S4_L003_R1_001	86.13387951734785	49.0	151.0	151	36.36363636363637	17.388711
TCR-AL_S4_L003_R2_001	89.87840052246526	49.0	151.0	151	45.45454545454545	17.388711
TCR-AL_S4_L004_R1_001	85.48497139549566	49.0	151.0	151	27.27272727272727	15.936589999999999
TCR-AL_S4_L004_R2_001	88.78841407425014	49.0	151.0	151	36.36363636363637	15.936589999999999
TCR-AT_S3_L001_R1_001	79.84634668866917	50.0	151.0	151	27.27272727272727	15.615253
TCR-AT_S3_L001_R2_001	88.47675643673965	50.0	151.0	151	45.45454545454545	15.615253
TCR-AT_S3_L002_R1_001	79.46468268810725	50.0	151.0	151	36.36363636363637	15.271158999999999
TCR-AT_S3_L002_R2_001	87.4202368886871	50.0	151.0	151	54.54545454545454	15.271158999999999
TCR-AT_S3_L003_R1_001	80.64837772133691	50.0	151.0	151	36.36363636363637	14.781165999999999
TCR-AT_S3_L003_R2_001	88.9300958534296	50.0	151.0	151	54.54545454545454	14.781165999999999
TCR-AT_S3_L004_R1_001	80.28769941555636	50.0	151.0	151	27.27272727272727	13.173013
TCR-AT_S3_L004_R2_001	87.79808606367479	50.0	151.0	151	45.45454545454545	13.173013
TCR-YL_S2_L001_R1_001	87.17531581744954	49.0	151.0	151	27.27272727272727	25.698658
TCR-YL_S2_L001_R2_001	91.18871799048924	49.0	151.0	151	36.36363636363637	25.698658
TCR-YL_S2_L002_R1_001	87.17273113521266	49.0	151.0	151	36.36363636363637	25.214102999999998
TCR-YL_S2_L002_R2_001	90.56274403825262	49.0	151.0	151	45.45454545454545	25.214102999999998
TCR-YL_S2_L003_R1_001	87.89177592874492	49.0	151.0	151	36.36363636363637	24.589661
TCR-YL_S2_L003_R2_001	91.66309370896883	49.0	151.0	151	45.45454545454545	24.589661
TCR-YL_S2_L004_R1_001	87.7356143619282	49.0	151.0	151	27.27272727272727	22.472873
TCR-YL_S2_L004_R2_001	90.67939691177035	49.0	151.0	151	36.36363636363637	22.472873
TCR-YT_S1_L001_R1_001	82.62173447884652	49.0	151.0	151	27.27272727272727	17.941461999999998
TCR-YT_S1_L001_R2_001	89.01242841663077	50.0	151.0	151	45.45454545454545	17.941461999999998
TCR-YT_S1_L002_R1_001	81.6949552615014	49.0	151.0	151	36.36363636363637	17.76828
TCR-YT_S1_L002_R2_001	87.96424177024068	49.0	151.0	151	54.54545454545454	17.76828
TCR-YT_S1_L003_R1_001	83.38654540319878	49.0	151.0	151	36.36363636363637	17.207781
TCR-YT_S1_L003_R2_001	89.50628863571613	50.0	151.0	151	54.54545454545454	17.207781
TCR-YT_S1_L004_R1_001	82.43794839361354	49.0	151.0	151	27.27272727272727	15.923587999999999
TCR-YT_S1_L004_R2_001	88.40126954759461	49.0	151.0	151	45.45454545454545	15.923587999999999
