Martian Runtime - v4.0.13
Serving UI at http://c0703a-s22.ufhpc:40287?auth=g1iBP0wCL0jvgNrNq87stnsM7rO-6FgUqL8VlDYUF_M

Running preflight checks (please wait)...
2025-09-11 14:22:34 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG
2025-09-11 14:22:34 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG.fork0.chnk0.main
2025-09-11 14:22:44 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT
2025-09-11 14:22:45 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT.fork0.chnk0.main
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR
2025-09-11 14:22:45 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR.fork0.chnk0.main
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.COPY_VDJ_REFERENCE
2025-09-11 14:22:45 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.COPY_VDJ_REFERENCE.fork0.chnk0.main
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX
2025-09-11 14:22:45 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX.fork0.chnk0.main
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY
2025-09-11 14:22:45 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY.fork0.chnk0.main
2025-09-11 14:22:45 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.COPY_CHEMISTRY_SPEC.fork0
