Martian Runtime - v4.0.13
Serving UI at http://c0603a-s10.ufhpc:34941?auth=gpcp3Nb9T7-K7Pt_js3-p1M9hdYTHnP8XQDl4lkl-ts

Running preflight checks (please wait)...
2025-08-21 23:48:36 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG
2025-08-21 23:48:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG.fork0.chnk0.main
2025-08-21 23:48:42 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.PARSE_MULTI_CONFIG
2025-08-21 23:48:44 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR
2025-08-21 23:48:44 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.DISABLE_CORRECTION_FACTOR.fork0.chnk0.main
2025-08-21 23:48:44 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX
2025-08-21 23:48:44 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX.fork0.chnk0.main
2025-08-21 23:48:45 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.COPY_VDJ_REFERENCE
2025-08-21 23:48:45 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.COPY_VDJ_REFERENCE.fork0.chnk0.main
2025-08-21 23:48:45 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY
2025-08-21 23:48:45 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.DETECT_COUNT_CHEMISTRY.fork0.chnk0.main
2025-08-21 23:48:45 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT
2025-08-21 23:48:45 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT.fork0.chnk0.main
2025-08-21 23:48:46 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.COPY_CHEMISTRY_SPEC.fork0
2025-08-21 23:48:46 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.COPY_CHEMISTRY_SPEC.fork0.chnk0.main
2025-08-21 23:48:46 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.COPY_CHEMISTRY_SPEC.fork1
